============================================================
Bolsa de Arte — Coletor de Cotações
Início: 21/03/2026 19:46:14
============================================================
DB atual: 0 cotações
  Modo: varredura completa | Início: pág 1
  Pág   539 | +12 novos | Total novo: 6456
  Pág   540 | +12 novos | Total novo: 6468
  Pág   541 | +12 novos | Total novo: 6480
  Pág   542 | +12 novos | Total novo: 6492
  Pág   543 | +12 novos | Total novo: 6504
  Pág   544 | +12 novos | Total novo: 6516
  Pág   545 | +12 novos | Total novo: 6528
  Pág   546 | +12 novos | Total novo: 6540
  Pág   547 | +12 novos | Total novo: 6552
  Pág   548 | +12 novos | Total novo: 6564
  Pág   549 | +12 novos | Total novo: 6576
  Pág   550 | +12 novos | Total novo: 6588
  Pág   551 | +12 novos | Total novo: 6600
  Pág   552 | +12 novos | Total novo: 6612
  Pág   553 | +12 novos | Total novo: 6624
  Pág   554 | +12 novos | Total novo: 6636
  Pág   555 | +12 novos | Total novo: 6648
  Pág   556 | +12 novos | Total novo: 6660
  Pág   557 | +12 novos | Total novo: 6672
  Pág   558 | +12 novos | Total novo: 6684
  Pág   559 | +12 novos | Total novo: 6696
  Pág   560 | +12 novos | Total novo: 6708
  Pág   561 | +12 novos | Total novo: 6720
  Pág   562 | +12 novos | Total novo: 6732
  Pág   563 | +12 novos | Total novo: 6744
  Pág   564 | +12 novos | Total novo: 6756
  Pág   565 | +12 novos | Total novo: 6768
  Pág   566 | +12 novos | Total novo: 6780
  Pág   567 | +12 novos | Total novo: 6792
  Pág   568 | +12 novos | Total novo: 6804
  Pág   569 | +12 novos | Total novo: 6816
  Pág   570 | +12 novos | Total novo: 6828
  Pág   571 | +12 novos | Total novo: 6840
  Pág   572 | +12 novos | Total novo: 6852
  Pág   573 | +12 novos | Total novo: 6864
  Pág   574 | +12 novos | Total novo: 6876
  Pág   575 | +12 novos | Total novo: 6888
  Pág   576 | +12 novos | Total novo: 6900
  Pág   577 | +12 novos | Total novo: 6912
  Pág   578 | +12 novos | Total novo: 6924
  Pág   579 | +12 novos | Total novo: 6936
  Pág   580 | +12 novos | Total novo: 6948
  Pág   581 | +12 novos | Total novo: 6960
  Pág   582 | +12 novos | Total novo: 6972
  Pág   583 | +12 novos | Total novo: 6984
  Pág   584 | +12 novos | Total novo: 6996
